"","Themes","Tables.Within.Themes","Column.Names","Description.of.Field","Table.Name","total_col"
"25","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE40_44M","Age 40 - 44 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"26","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE45_49M","Age 45 - 49 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"27","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE50_54M","Age 50 - 54 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"28","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE55_59M","Age 55 - 59 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"29","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE60_64M","Age 60 - 64 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"30","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE65_69M","Age 65 - 69 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"31","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE70_74M","Age 70 - 74 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"32","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE75_79M","Age 75 - 79 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"33","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE80_84M","Age 80 - 84 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"34","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGEGE_85M","Age 85 and over - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"35","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGETM","Total - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",TRUE
"36","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE0F","Age 0 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"37","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE1F","Age 1 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"38","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE2F","Age 2 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"39","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE3F","Age 3 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"40","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE4F","Age 4 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"41","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE5F","Age 5 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"42","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE6F","Age 6 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"43","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE7F","Age 7 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"44","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE8F","Age 8 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"45","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE9F","Age 9 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"46","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE10F","Age 10 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"47","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE11F","Age 11 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"48","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE12F","Age 12 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"49","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE13F","Age 13 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"50","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE14F","Age 14 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"51","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE15F","Age 15 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"52","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE16F","Age 16 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"53","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE17F","Age 17 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"54","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE18F","Age 18 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"55","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE19F","Age 19 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"56","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE20_24F","Age 20 - 24 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"57","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE25_29F","Age 25 - 29 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"58","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE30_34F","Age 30 - 34 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"59","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE35_39F","Age 35 - 39 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"60","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE40_44F","Age 40 - 44 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"61","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE45_49F","Age 45 - 49 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"62","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE50_54F","Age 50 - 54 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"63","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE55_59F","Age 55 - 59 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"64","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE60_64F","Age 60 - 64 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"65","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE65_69F","Age 65 - 69 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"66","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE70_74F","Age 70 - 74 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"67","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE75_79F","Age 75 - 79 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"68","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE80_84F","Age 80 - 84 - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"69","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGEGE_85F","Age 85 and over - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"70","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGETF","Total - Females","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",TRUE
"71","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE0T","Age 0 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"72","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE1T","Age 1 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"73","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE2T","Age 2 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"74","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE3T","Age 3 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"75","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE4T","Age 4 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"76","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE5T","Age 5 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"77","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE6T","Age 6 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"78","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE7T","Age 7 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"79","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE8T","Age 8 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"80","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE9T","Age 9 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"81","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE10T","Age 10 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"82","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE11T","Age 11 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"83","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE12T","Age 12 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"84","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE13T","Age 13 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"85","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE14T","Age 14 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"86","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE15T","Age 15 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"87","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE16T","Age 16 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"88","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE17T","Age 17 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"89","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE18T","Age 18 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"90","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE19T","Age 19 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"91","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE20_24T","Age 20 - 24 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"92","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE25_29T","Age 25 - 29 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"93","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE30_34T","Age 30 - 34 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"94","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE35_39T","Age 35 - 39 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"95","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE40_44T","Age 40 - 44 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"96","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE45_49T","Age 45 - 49 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"97","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE50_54T","Age 50 - 54 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"98","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE55_59T","Age 55 - 59 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"99","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE60_64T","Age 60 - 64 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"100","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE65_69T","Age 65 - 69 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"101","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE70_74T","Age 70 - 74 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"102","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE75_79T","Age 75 - 79 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"103","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE80_84T","Age 80 - 84 - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"104","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGEGE_85T","Age 85 and over - Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"105","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGETT","Total","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",TRUE
"106","Theme 1 Sex, Age and Marital Status","Table 2","T1_2SGLM","Single - Males","Population by sex and marital status",FALSE
"107","Theme 1 Sex, Age and Marital Status","Table 2","T1_2MARM","Married (incl. same sex civil partnership) - Males","Population by sex and marital status",FALSE
"108","Theme 1 Sex, Age and Marital Status","Table 2","T1_2SEPM","Separated - Males","Population by sex and marital status",FALSE
"109","Theme 1 Sex, Age and Marital Status","Table 2","T1_2DIVM","Divorced - Males","Population by sex and marital status",FALSE
"110","Theme 1 Sex, Age and Marital Status","Table 2","T1_2WIDM","Widowed - Males","Population by sex and marital status",FALSE
"111","Theme 1 Sex, Age and Marital Status","Table 2","T1_2TM","Total - Males","Population by sex and marital status",TRUE
"112","Theme 1 Sex, Age and Marital Status","Table 2","T1_2SGLF","Single - Females","Population by sex and marital status",FALSE
"113","Theme 1 Sex, Age and Marital Status","Table 2","T1_2MARF","Married (incl. same sex civil partnership) - Females","Population by sex and marital status",FALSE
"114","Theme 1 Sex, Age and Marital Status","Table 2","T1_2SEPF","Separated - Females","Population by sex and marital status",FALSE
"115","Theme 1 Sex, Age and Marital Status","Table 2","T1_2DIVF","Divorced - Females","Population by sex and marital status",FALSE
"116","Theme 1 Sex, Age and Marital Status","Table 2","T1_2WIDF","Widowed - Females","Population by sex and marital status",FALSE
"117","Theme 1 Sex, Age and Marital Status","Table 2","T1_2TF","Total - Females","Population by sex and marital status",TRUE
"118","Theme 1 Sex, Age and Marital Status","Table 2","T1_2SGLT","Single - Total","Population by sex and marital status",FALSE
"119","Theme 1 Sex, Age and Marital Status","Table 2","T1_2MART","Married (incl. same sex civil partnership) - Total","Population by sex and marital status",FALSE
"120","Theme 1 Sex, Age and Marital Status","Table 2","T1_2SEPT","Separated - Total","Population by sex and marital status",FALSE
"121","Theme 1 Sex, Age and Marital Status","Table 2","T1_2DIVT","Divorced - Total","Population by sex and marital status",FALSE
"122","Theme 1 Sex, Age and Marital Status","Table 2","T1_2WIDT","Widowed - Total","Population by sex and marital status",FALSE
"123","Theme 1 Sex, Age and Marital Status","Table 2","T1_2T","Total ","Population by sex and marital status",TRUE
"124","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 1","T2_1IEBP","Ireland - Birthplace","Usually resident population by place of birth and nationality ",FALSE
"125","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 1","T2_1UKBP","UK - Birthplace","Usually resident population by place of birth and nationality ",FALSE
"126","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 1","T2_1PLBP","Poland - Birthplace","Usually resident population by place of birth and nationality ",FALSE
"127","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 1","T2_1LTBP","Lithuania - Birthplace","Usually resident population by place of birth and nationality ",FALSE
"128","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 1","T2_1EUBP","Other EU28 - Birthplace","Usually resident population by place of birth and nationality ",FALSE
"129","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 1","T2_1RWBP","Rest of world - Birthplace","Usually resident population by place of birth and nationality ",FALSE
"130","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 1","T2_1TBP","Total - Birthplace","Usually resident population by place of birth and nationality ",TRUE
"131","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 1","T2_1IEN","Ireland - Nationality","Usually resident population by place of birth and nationality ",FALSE
"132","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 1","T2_1UKN","UK - Nationality","Usually resident population by place of birth and nationality ",FALSE
"133","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 1","T2_1PLN","Poland - Nationality","Usually resident population by place of birth and nationality ",FALSE
"134","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 1","T2_1LTN","Lithuania - Nationality","Usually resident population by place of birth and nationality ",FALSE
"135","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 1","T2_1EUN","Other EU28 - Nationality","Usually resident population by place of birth and nationality ",FALSE
"136","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 1","T2_1RWN","Rest of world - Nationality","Usually resident population by place of birth and nationality ",FALSE
"137","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 1","T2_1NSN","Not stated - Nationality","Usually resident population by place of birth and nationality ",FALSE
"138","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 1","T2_1TN","Total - Nationality","Usually resident population by place of birth and nationality ",TRUE
"139","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 2","T2_2WI","White Irish","Usually resident population by ethnic or cultural background ",FALSE
"140","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 2","T2_2WIT","White Irish Traveller","Usually resident population by ethnic or cultural background ",FALSE
"141","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 2","T2_2OW","Other White","Usually resident population by ethnic or cultural background ",FALSE
"142","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 2","T2_2BBI","Black or Black Irish","Usually resident population by ethnic or cultural background ",FALSE
"143","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 2","T2_2AAI","Asian or Asian Irish","Usually resident population by ethnic or cultural background ",FALSE
"144","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 2","T2_2OTH","Other","Usually resident population by ethnic or cultural background ",FALSE
"145","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 2","T2_2NS","Not stated","Usually resident population by ethnic or cultural background ",FALSE
"146","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 2","T2_2T","Total","Usually resident population by ethnic or cultural background ",TRUE
"147","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 3","T2_3SA","Same address","Usually resident population aged 1 year and over by usual residence 1 year before Census Day",FALSE
"148","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 3","T2_3EC","Elsewhere in county","Usually resident population aged 1 year and over by usual residence 1 year before Census Day",FALSE
"149","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 3","T2_3EI","Elsewhere in Ireland","Usually resident population aged 1 year and over by usual residence 1 year before Census Day",FALSE
"150","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 3","T2_3OI","Outside Ireland","Usually resident population aged 1 year and over by usual residence 1 year before Census Day",FALSE
"151","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 3","T2_3T","Total","Usually resident population aged 1 year and over by usual residence 1 year before Census Day",TRUE
"152","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 4","T2_4CA","Catholic","Population by religion",FALSE
"153","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 4","T2_4OR","Other religion","Population by religion",FALSE
"154","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 4","T2_4NR","No religion","Population by religion",FALSE
"155","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 4","T2_4NS","Not stated","Population by religion",FALSE
"156","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 4","T2_4T","Total","Population by religion",TRUE
"157","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 5","T2_5PL","Polish","Speakers of foreign languages by language spoken ",FALSE
"158","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 5","T2_5FR","French","Speakers of foreign languages by language spoken ",FALSE
"159","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 5","T2_5LT","Lithuanian","Speakers of foreign languages by language spoken ",FALSE
"160","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 5","T2_5OTH","Other (incl. not stated)","Speakers of foreign languages by language spoken ",FALSE
"161","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 5","T2_5T","Total","Speakers of foreign languages by language spoken ",TRUE
"162","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 6","T2_6VW","Very well","Speakers of foreign languages by ability to speak English ",FALSE
"163","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 6","T2_6W","Well","Speakers of foreign languages by ability to speak English ",FALSE
"164","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 6","T2_6NW","Not well","Speakers of foreign languages by ability to speak English ",FALSE
"165","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 6","T2_6NAA","Not at all","Speakers of foreign languages by ability to speak English ",FALSE
"166","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 6","T2_6NS","Not stated","Speakers of foreign languages by ability to speak English ",FALSE
"167","Theme 2 Migration, Ethnicity, Religion and Foreign Languages","Table 6","T2_6T","Total","Speakers of foreign languages by ability to speak English ",TRUE
